"Año";"Periodo";"Parámetro";"Salida y puesta del sol"
"2019";"Enero";"Álava";"9,44"
"2019";"Enero";"Albacete";"9,79"
"2019";"Enero";"Alicante";"9,84"
"2019";"Enero";"Almería";"9,97"
"2019";"Enero";"Ávila";"9,64"
"2019";"Enero";"Badajoz";"9,8"
"2019";"Enero";"Islas Baleares";"9,74"
"2019";"Enero";"Barcelona";"9,58"
"2019";"Enero";"Burgos";"9,49"
"2019";"Enero";"Cáceres";"9,75"
"2019";"Enero";"Cádiz";"9,99"
"2019";"Enero";"Castellón";"9,7"
"2019";"Enero";"Ciudad Real";"9,79"
"2019";"Enero";"Córdoba";"9,88"
"2019";"Enero";"A Coruña";"9,39"
"2019";"Enero";"Cuenca";"9,69"
"2019";"Enero";"Girona";"9,52"
"2019";"Enero";"Granada";"9,94"
"2019";"Enero";"Guadalajara";"9,64"
"2019";"Enero";"Guipúzcoa ";"9,4"
"2019";"Enero";"Huelva";"9,93"
"2019";"Enero";"Huesca";"9,51"
"2019";"Enero";"Jaén";"9,89"
"2019";"Enero";"León";"9,46"
"2019";"Enero";"Lleida";"9,55"
"2019";"Enero";"La Rioja";"9,48"
"2019";"Enero";"Lugo";"9,42"
"2019";"Enero";"Madrid";"9,66"
"2019";"Enero";"Málaga";"9,97"
"2019";"Enero";"Murcia";"9,87"
"2019";"Enero";"Navarra";"9,44"
"2019";"Enero";"Ourense";"9,49"
"2019";"Enero";"Asturias";"9,39"
"2019";"Enero";"Palencia";"9,52"
"2019";"Enero";"Las Palmas";"10,59"
"2019";"Enero";"Pontevedra";"9,48"
"2019";"Enero";"Salamanca";"9,62"
"2019";"Enero";"Santa Cruz de Tenerife";"10,57"
"2019";"Enero";"Cantabria";"9,38"
"2019";"Enero";"Segovia";"9,62"
"2019";"Enero";"Sevilla";"9,92"
"2019";"Enero";"Soria";"9,54"
"2019";"Enero";"Tarragona";"9,6"
"2019";"Enero";"Teruel";"9,67"
"2019";"Enero";"Toledo";"9,71"
"2019";"Enero";"Valencia";"9,75"
"2019";"Enero";"Valladolid";"9,55"
"2019";"Enero";"Vizcaya";"9,4"
"2019";"Enero";"Zamora";"9,57"
"2019";"Enero";"Zaragoza";"9,55"
"2019";"Enero";"Ceuta";"10,04"
