Comunidades y Ciudades Autónomas	Tasa de riesgo de pobreza	Periodo	Total
01 Andalucía	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	28,5
01 Andalucía	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	31,3
01 Andalucía	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	32,0
01 Andalucía	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	31,0
01 Andalucía	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	35,4
01 Andalucía	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	35,7
01 Andalucía	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	33,3
01 Andalucía	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	29,1
01 Andalucía	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	28,3
01 Andalucía	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	30,7
01 Andalucía	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	28,3
01 Andalucía	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	28,8
01 Andalucía	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	27,3
01 Andalucía	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	24,4
01 Andalucía	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	28,1
01 Andalucía	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	27,6
01 Andalucía	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	27,5
01 Andalucía	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	30,3
01 Andalucía	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	30,0
01 Andalucía	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	29,0
01 Andalucía	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	26,6
01 Andalucía	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	24,4
01 Andalucía	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	25,6
01 Andalucía	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	22,9
01 Andalucía	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	22,9
01 Andalucía	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	22,1
02 Aragón	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	16,0
02 Aragón	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	17,9
02 Aragón	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	14,2
02 Aragón	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	13,3
02 Aragón	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	15,7
02 Aragón	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	14,4
02 Aragón	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	16,9
02 Aragón	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	16,1
02 Aragón	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	14,5
02 Aragón	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	15,5
02 Aragón	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	14,2
02 Aragón	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	11,3
02 Aragón	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	14,9
02 Aragón	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	14,0
02 Aragón	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	15,4
02 Aragón	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	12,9
02 Aragón	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	10,2
02 Aragón	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	15,2
02 Aragón	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	12,0
02 Aragón	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	13,8
02 Aragón	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	14,8
02 Aragón	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	13,6
02 Aragón	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	14,6
02 Aragón	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	12,1
02 Aragón	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	8,9
02 Aragón	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	12,1
03 Asturias, Principado de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	22,2
03 Asturias, Principado de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	20,7
03 Asturias, Principado de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	14,0
03 Asturias, Principado de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	12,6
03 Asturias, Principado de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	13,4
03 Asturias, Principado de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	16,7
03 Asturias, Principado de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	16,7
03 Asturias, Principado de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	14,1
03 Asturias, Principado de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	13,0
03 Asturias, Principado de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	14,1
03 Asturias, Principado de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	11,5
03 Asturias, Principado de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	13,0
03 Asturias, Principado de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	13,2
03 Asturias, Principado de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	21,4
03 Asturias, Principado de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	19,5
03 Asturias, Principado de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	13,2
03 Asturias, Principado de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	12,3
03 Asturias, Principado de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	12,2
03 Asturias, Principado de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	15,7
03 Asturias, Principado de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	14,5
03 Asturias, Principado de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	13,6
03 Asturias, Principado de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	11,8
03 Asturias, Principado de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	10,7
03 Asturias, Principado de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	8,6
03 Asturias, Principado de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	9,9
03 Asturias, Principado de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	10,4
04 Balears, Illes	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	14,1
04 Balears, Illes	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	12,0
04 Balears, Illes	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	15,4
04 Balears, Illes	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	21,3
04 Balears, Illes	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	15,5
04 Balears, Illes	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	21,7
04 Balears, Illes	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	17,9
04 Balears, Illes	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	19,8
04 Balears, Illes	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	19,9
04 Balears, Illes	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	21,0
04 Balears, Illes	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	22,7
04 Balears, Illes	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	18,1
04 Balears, Illes	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	18,1
04 Balears, Illes	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	16,1
04 Balears, Illes	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	14,8
04 Balears, Illes	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	12,8
04 Balears, Illes	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	23,8
04 Balears, Illes	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	16,0
04 Balears, Illes	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	22,0
04 Balears, Illes	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	18,4
04 Balears, Illes	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	19,5
04 Balears, Illes	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	20,6
04 Balears, Illes	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	17,9
04 Balears, Illes	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	22,1
04 Balears, Illes	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	18,7
04 Balears, Illes	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	19,0
05 Canarias	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	29,9
05 Canarias	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	28,5
05 Canarias	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	32,1
05 Canarias	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	30,5
05 Canarias	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	35,0
05 Canarias	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	28,5
05 Canarias	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	27,6
05 Canarias	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	28,4
05 Canarias	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	33,6
05 Canarias	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	30,1
05 Canarias	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	29,7
05 Canarias	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	30,4
05 Canarias	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	30,7
05 Canarias	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	28,0
05 Canarias	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	22,7
05 Canarias	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	29,0
05 Canarias	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	25,9
