Encuesta de Población Activa (EPA)
Población en viviendas familiares (incluye parados)
Tasas de actividad, paro y empleo por provincia y sexo
Unidades: Tasas
,Tasa de actividad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tasa de paro de la población,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tasa de empleo de la población,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021T3,2021T2,2021T1,2020T4,2020T3,2020T2,2020T1,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2021T3,2021T2,2021T1,2020T4,2020T3,2020T2,2020T1,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,2021T3,2021T2,2021T1,2020T4,2020T3,2020T2,2020T1,2019T4,2019T3,2019T2,2019T1,2018T4,2018T3,2018T2,2018T1,2017T4,2017T3,2017T2,2017T1,2016T4,2016T3,2016T2,2016T1,2015T4,2015T3,2015T2,2015T1,2014T4,2014T3,2014T2,2014T1,2013T4,2013T3,2013T2,2013T1,2012T4,2012T3,2012T2,2012T1,2011T4,2011T3,2011T2,2011T1,2010T4,2010T3,2010T2,2010T1,
Hombres,
    02 Albacete,65,69,63,94,62,85,63,95,62,40,59,98,62,81,61,03,63,04,65,66,65,92,67,40,68,53,67,41,65,57,65,61,64,22,65,87,62,24,60,83,58,06,61,55,59,89,63,17,63,97,63,97,64,15,63,72,63,41,63,28,63,23,64,08,66,55,65,34,64,49,63,43,64,62,65,04,63,51,64,37,66,45,66,87,65,64,68,00,67,10,68,27,67,28,11,89,10,96,14,67,11,41,13,72,13,63,17,74,13,48,11,33,13,57,14,24,14,09,15,98,16,59,18,17,20,04,16,92,22,29,19,19,20,24,21,73,21,66,21,96,18,50,21,18,20,98,26,36,23,90,30,01,27,45,27,01,25,08,27,33,28,44,31,23,28,25,29,04,28,01,25,89,24,11,24,45,21,66,20,74,21,11,21,11,24,59,22,32,57,88,56,93,53,63,56,65,53,84,51,80,51,67,52,81,55,90,56,75,56,53,57,90,57,58,56,23,53,65,52,46,53,35,51,19,50,30,48,52,45,44,48,21,46,74,51,49,50,42,50,55,47,24,48,49,44,38,45,91,46,15,48,01,48,36,46,76,44,35,45,52,45,86,46,82,47,07,48,85,50,20,52,39,52,03,53,64,52,94,51,48,52,27,
    03 Alicante/Alacant,63,02,60,59,61,04,62,66,64,17,61,69,64,00,65,20,64,59,64,67,63,03,63,13,64,50,63,58,63,80,63,17,64,44,65,16,64,44,63,60,65,63,66,26,63,91,63,70,64,28,63,98,63,86,63,99,63,17,63,92,63,44,65,34,65,38,65,77,64,34,66,13,66,39,67,01,66,23,66,72,65,20,64,38,63,13,65,05,66,68,66,56,65,69,16,35,14,93,17,82,17,45,16,54,16,02,13,47,13,34,10,31,12,32,13,41,15,34,14,60,15,39,17,49,16,50,15,38,15,81,19,58,17,72,17,14,20,57,21,66,22,25,22,22,22,79,26,76,23,92,23,02,25,02,26,73,26,33,24,65,24,04,26,58,26,53,25,93,27,09,29,14,25,76,22,21,23,28,24,52,24,57,24,22,24,41,23,88,52,71,51,54,50,17,51,73,53,55,51,81,55,38,56,50,57,93,56,70,54,58,53,45,55,08,53,79,52,64,52,75,54,53,54,86,51,82,52,33,54,39,52,63,50,07,49,52,50,00,49,40,46,77,48,68,48,63,47,93,46,49,48,14,49,26,49,96,47,24,48,58,49,18,48,86,46,93,49,53,50,72,49,39,47,65,49,07,50,53,50,31,50,00,
    04 Almería,70,40,65,91,70,52,67,89,68,40,62,72,68,84,67,22,64,45,66,35,65,07,66,79,67,26,67,01,68,96,71,63,69,51,68,69,69,19,68,42,67,26,66,23,66,32,65,93,66,38,67,22,68,81,70,84,71,20,72,12,74,00,73,10,72,60,73,49,70,80,71,81,71,74,70,65,69,31,70,21,72,33,71,38,72,21,70,92,69,74,70,37,72,15,19,23,20,64,15,91,17,10,20,22,15,78,15,56,15,08,15,38,15,56,14,33,18,38,22,10,20,33,22,66,22,26,21,40,22,13,21,43,24,59,19,54,22,99,23,90,21,59,26,95,27,36,28,05,33,42,34,56,31,81,32,81,33,80,36,04,34,24,36,17,34,00,37,97,34,28,34,96,33,08,33,09,32,14,30,61,25,84,24,28,30,95,32,76,56,87,52,30,59,30,56,28,54,57,52,82,58,12,57,08,54,54,56,02,55,75,54,52,52,39,53,39,53,34,55,69,54,63,53,49,54,36,51,60,54,12,51,00,50,47,51,69,48,49,48,83,49,51,47,16,46,59,49,18,49,72,48,39,46,44,48,33,45,19,47,40,44,49,46,43,45,07,46,99,48,39,48,44,50,10,52,60,52,81,48,59,48,51,
    01 Araba/Álava,61,93,59,61,60,16,58,96,59,02,57,85,60,01,60,41,61,21,61,81,63,21,64,16,64,27,62,77,63,04,63,56,62,10,60,26,61,62,63,18,63,15,62,30,62,64,64,43,63,39,64,08,65,06,65,39,64,62,66,69,65,80,67,97,68,41,68,53,68,46,67,52,68,40,68,10,69,85,71,35,71,50,70,44,70,26,69,29,68,70,70,10,68,27,11,15,12,07,11,10,8,76,6,25,6,19,6,12,6,26,9,36,8,38,6,56,6,92,7,61,9,44,8,27,7,94,8,43,10,21,10,34,10,73,11,53,12,40,10,92,10,43,12,93,15,45,18,90,15,02,13,64,16,56,18,22,19,69,17,22,17,41,16,90,20,15,14,33,16,21,16,37,10,83,9,68,8,80,12,87,11,10,9,25,11,06,12,98,55,03,52,42,53,49,53,79,55,33,54,27,56,34,56,63,55,48,56,64,59,06,59,72,59,38,56,85,57,83,58,52,56,87,54,11,55,25,56,40,55,87,54,57,55,80,57,71,55,19,54,18,52,76,55,56,55,81,55,64,53,81,54,58,56,63,56,60,56,89,53,92,58,60,57,07,58,41,63,62,64,58,64,24,61,22,61,60,62,34,62,35,59,41,
    33 Asturias,55,91,55,30,54,79,54,71,54,39,53,02,54,76,54,98,55,22,54,22,55,17,54,16,55,96,55,04,55,00,54,90,55,75,55,94,55,76,55,65,57,59,56,88,55,61,55,80,56,12,55,17,55,11,56,94,56,90,56,49,57,28,58,22,58,45,57,51,59,25,58,67,59,00,59,36,58,22,58,41,58,19,58,48,57,70,57,95,59,38,58,95,58,96,11,43,12,02,12,49,12,84,13,28,15,53,13,83,12,71,14,17,12,35,13,97,11,55,13,03,10,82,14,05,13,99,13,94,12,30,13,81,14,96,18,89,21,32,20,07,21,03,17,50,21,43,18,41,20,34,18,52,20,15,21,56,21,36,23,54,25,42,25,36,23,63,22,10,21,40,20,44,19,95,17,83,17,81,17,66,15,53,13,33,15,59,16,18,49,52,48,65,47,95,47,69,47,17,44,78,47,19,47,99,47,40,47,52,47,46,47,90,48,67,49,08,47,27,47,22,47,97,49,06,48,06,47,32,46,71,44,75,44,45,44,06,46,30,43,34,44,97,45,36,46,36,45,11,44,94,45,79,44,69,42,89,44,22,44,81,45,96,46,66,46,32,46,75,47,82,48,07,47,51,48,95,51,47,49,76,49,42,
    05 Ávila,57,44,58,63,57,65,61,73,63,22,58,71,59,99,61,84,60,79,57,99,57,15,58,38,59,53,58,64,60,67,60,24,60,82,62,37,62,64,60,27,62,97,62,13,60,57,57,76,60,30,60,63,59,49,60,81,61,47,61,54,62,77,64,51,64,89,62,67,61,80,63,85,65,59,65,39,63,06,61,85,64,15,62,34,60,57,60,83,61,89,61,39,62,02,8,08,11,90,10,66,12,40,11,80,11,13,11,96,15,31,13,14,11,67,18,00,14,85,15,15,16,72,18,61,18,35,11,59,17,20,17,74,14,24,18,02,20,75,26,21,19,28,21,05,22,63,24,57,23,70,21,14,23,33,24,59,23,39,21,02,23,77,24,37,20,56,22,50,25,26,24,62,20,12,19,76,24,28,26,84,20,18,18,67,22,80,25,02,52,80,51,65,51,51,54,08,55,76,52,17,52,82,52,37,52,81,51,22,46,86,49,71,50,51,48,84,49,37,49,18,53,78,51,64,51,53,51,68,51,62,49,24,44,70,46,63,47,61,46,91,44,88,46,40,48,48,47,18,47,33,49,42,51,25,47,78,46,74,50,72,50,83,48,88,47,54,49,41,51,47,47,20,44,31,48,56,50,34,47,39,46,51,
    06 Badajoz,64,87,62,96,61,28,60,72,61,45,57,67,61,35,62,85,62,91,63,08,64,29,62,95,63,39,63,60,63,77,63,16,63,30,63,19,63,91,64,02,63,98,63,60,66,02,64,42,64,79,63,76,62,98,64,27,63,67,63,15,62,37,62,05,63,55,64,03,65,48,65,36,66,77,64,22,64,86,63,53,63,78,66,08,66,91,65,66,65,50,66,35,64,38,13,28,13,37,16,70,18,63,17,56,17,75,20,83,19,64,15,74,14,92,16,09,18,44,18,80,19,98,22,22,21,22,22,07,22,15,27,26,26,60,23,94,23,74,25,59,24,54,26,72,27,42,26,61,28,97,23,89,27,42,31,44,29,35,31,42,33,06,35,82,32,04,29,42,30,19,30,88,26,43,22,70,22,05,24,61,22,89,19,92,19,92,21,08,56,25,54,54,51,04,49,41,50,66,47,43,48,57,50,51,53,01,53,67,53,94,51,34,51,47,50,89,49,60,49,76,49,33,49,19,46,49,46,99,48,66,48,51,49,12,48,61,47,48,46,28,46,22,45,65,48,46,45,83,42,76,43,84,43,58,42,86,42,03,44,41,47,13,44,84,44,83,46,74,49,30,51,51,50,44,50,63,52,46,53,13,50,81,
    07 Balears, Illes,71,65,69,51,63,79,66,15,68,67,65,26,65,38,67,88,71,26,70,60,68,23,68,91,72,13,70,68,67,73,67,63,72,78,71,66,68,58,67,56,72,48,71,99,69,84,69,20,74,40,71,69,68,35,69,26,73,74,72,59,67,61,70,67,73,56,73,86,71,84,71,64,75,21,72,90,70,79,71,16,74,07,71,95,69,03,71,47,74,76,74,43,70,94,9,78,13,86,16,91,16,62,13,88,14,86,14,57,9,43,8,00,9,20,14,74,11,38,7,52,11,20,18,45,13,77,9,33,10,97,15,79,12,95,10,37,11,98,18,58,17,28,15,43,15,30,21,65,19,92,17,55,20,55,27,97,24,34,17,48,20,51,28,02,24,29,19,10,19,65,26,89,25,79,19,62,20,37,23,77,22,90,18,36,20,01,22,04,64,64,59,87,53,00,55,16,59,14,55,56,55,85,61,48,65,56,64,10,58,17,61,07,66,70,62,77,55,24,58,31,65,99,63,80,57,75,58,81,64,96,63,36,56,87,57,24,62,92,60,72,53,55,55,46,60,80,57,67,48,70,53,46,60,71,58,71,51,71,54,24,60,85,58,58,51,76,52,80,59,54,57,29,52,62,55,10,61,03,59,53,55,30,
    08 Barcelona,65,87,65,78,65,10,65,57,65,41,63,59,66,22,66,78,66,48,66,06,66,45,66,81,66,81,66,69,66,54,67,38,67,59,66,49,67,22,67,39,67,21,67,22,67,40,67,44,67,40,67,90,67,27,68,09,67,31,67,26,67,98,68,30,69,03,68,38,69,68,69,52,70,39,69,52,69,60,70,26,71,22,70,76,71,70,71,03,72,13,71,32,71,25,10,05,10,77,11,09,12,35,12,34,12,69,9,58,9,85,10,50,10,77,10,70,10,34,10,58,10,71,10,87,11,37,11,59,12,06,13,54,13,75,13,66,14,11,15,93,15,95,16,52,18,03,19,79,19,91,18,77,19,83,22,84,21,77,23,61,24,06,25,25,24,96,23,54,22,85,21,83,20,59,20,82,18,63,19,71,19,32,18,20,18,16,18,97,59,25,58,70,57,88,57,48,57,34,55,52,59,88,60,20,59,50,58,95,59,34,59,91,59,74,59,55,59,31,59,72,59,76,58,47,58,12,58,13,58,03,57,73,56,67,56,69,56,27,55,66,53,95,54,53,54,67,53,93,52,46,53,42,52,73,51,93,52,09,52,16,53,82,53,63,54,41,55,80,56,39,57,58,57,57,57,30,59,00,58,37,57,73,
    48 Bizkaia,60,41,58,19,57,85,58,54,59,37,56,82,59,10,59,29,59,80,61,24,60,03,60,22,60,41,60,20,59,62,60,35,62,16,61,26,61,26,62,86,62,34,61,49,61,92,62,19,62,87,62,01,63,63,63,67,62,89,62,43,62,01,62,39,62,74,63,07,64,72,64,23,63,64,64,00,63,08,63,53,63,76,63,07,64,06,64,56,64,63,66,49,64,31,10,26,11,69,12,54,10,51,12,51,10,50,10,07,10,28,10,23,10,78,10,61,11,42,11,83,13,93,13,42,12,89,13,39,12,25,12,08,13,89,12,92,14,43,15,24,14,73,15,78,18,30,18,40,19,16,16,13,17,21,19,75,18,26,16,55,18,65,19,48,18,28,18,86,16,00,16,22,14,65,15,39,14,22,13,40,12,87,11,43,11,30,11,05,54,22,51,39,50,60,52,39,51,94,50,85,53,15,53,20,53,69,54,64,53,66,53,35,53,27,51,82,51,62,52,57,53,84,53,76,53,85,54,12,54,29,52,62,52,49,53,02,52,95,50,66,51,93,51,47,52,75,51,68,49,77,51,00,52,36,51,31,52,11,52,49,51,64,53,77,52,84,54,23,53,95,54,10,55,48,56,26,57,24,58,97,57,20,
