Sexo	Provincias	Tasas	Periodo	Total
Hombres	02 Albacete	Tasa de actividad	2021T3	65,69
Hombres	02 Albacete	Tasa de actividad	2021T2	63,94
Hombres	02 Albacete	Tasa de actividad	2021T1	62,85
Hombres	02 Albacete	Tasa de actividad	2020T4	63,95
Hombres	02 Albacete	Tasa de actividad	2020T3	62,40
Hombres	02 Albacete	Tasa de actividad	2020T2	59,98
Hombres	02 Albacete	Tasa de actividad	2020T1	62,81
Hombres	02 Albacete	Tasa de actividad	2019T4	61,03
Hombres	02 Albacete	Tasa de actividad	2019T3	63,04
Hombres	02 Albacete	Tasa de actividad	2019T2	65,66
Hombres	02 Albacete	Tasa de actividad	2019T1	65,92
Hombres	02 Albacete	Tasa de actividad	2018T4	67,40
Hombres	02 Albacete	Tasa de actividad	2018T3	68,53
Hombres	02 Albacete	Tasa de actividad	2018T2	67,41
Hombres	02 Albacete	Tasa de actividad	2018T1	65,57
Hombres	02 Albacete	Tasa de actividad	2017T4	65,61
Hombres	02 Albacete	Tasa de actividad	2017T3	64,22
Hombres	02 Albacete	Tasa de actividad	2017T2	65,87
Hombres	02 Albacete	Tasa de actividad	2017T1	62,24
Hombres	02 Albacete	Tasa de actividad	2016T4	60,83
Hombres	02 Albacete	Tasa de actividad	2016T3	58,06
Hombres	02 Albacete	Tasa de actividad	2016T2	61,55
Hombres	02 Albacete	Tasa de actividad	2016T1	59,89
Hombres	02 Albacete	Tasa de actividad	2015T4	63,17
Hombres	02 Albacete	Tasa de actividad	2015T3	63,97
Hombres	02 Albacete	Tasa de actividad	2015T2	63,97
Hombres	02 Albacete	Tasa de actividad	2015T1	64,15
Hombres	02 Albacete	Tasa de actividad	2014T4	63,72
Hombres	02 Albacete	Tasa de actividad	2014T3	63,41
Hombres	02 Albacete	Tasa de actividad	2014T2	63,28
Hombres	02 Albacete	Tasa de actividad	2014T1	63,23
Hombres	02 Albacete	Tasa de actividad	2013T4	64,08
Hombres	02 Albacete	Tasa de actividad	2013T3	66,55
Hombres	02 Albacete	Tasa de actividad	2013T2	65,34
Hombres	02 Albacete	Tasa de actividad	2013T1	64,49
Hombres	02 Albacete	Tasa de actividad	2012T4	63,43
Hombres	02 Albacete	Tasa de actividad	2012T3	64,62
Hombres	02 Albacete	Tasa de actividad	2012T2	65,04
Hombres	02 Albacete	Tasa de actividad	2012T1	63,51
Hombres	02 Albacete	Tasa de actividad	2011T4	64,37
Hombres	02 Albacete	Tasa de actividad	2011T3	66,45
Hombres	02 Albacete	Tasa de actividad	2011T2	66,87
Hombres	02 Albacete	Tasa de actividad	2011T1	65,64
Hombres	02 Albacete	Tasa de actividad	2010T4	68,00
Hombres	02 Albacete	Tasa de actividad	2010T3	67,10
Hombres	02 Albacete	Tasa de actividad	2010T2	68,27
Hombres	02 Albacete	Tasa de actividad	2010T1	67,28
Hombres	02 Albacete	Tasa de paro de la población	2021T3	11,89
Hombres	02 Albacete	Tasa de paro de la población	2021T2	10,96
Hombres	02 Albacete	Tasa de paro de la población	2021T1	14,67
Hombres	02 Albacete	Tasa de paro de la población	2020T4	11,41
Hombres	02 Albacete	Tasa de paro de la población	2020T3	13,72
