fecha,moon,fecha_Date
01/01/2016,Cuarto Menguante,2016-01-01
09/01/2016,Luna Nueva,2016-01-09
16/01/2016,Cuarto Creciente,2016-01-16
24/01/2016,Luna Llena,2016-01-24
31/01/2016,Cuarto Menguante,2016-01-31
08/02/2016,Luna Nueva,2016-02-08
15/02/2016,Cuarto Creciente,2016-02-15
23/02/2016,Luna Llena,2016-02-23
29/02/2016,Cuarto Menguante,2016-02-29
08/03/2016,Luna Nueva,2016-03-08
15/03/2016,Cuarto Creciente,2016-03-15
23/03/2016,Luna Llena,2016-03-23
30/03/2016,Cuarto Menguante,2016-03-30
07/04/2016,Luna Nueva,2016-04-07
14/04/2016,Cuarto Creciente,2016-04-14
22/04/2016,Luna Llena,2016-04-22
29/04/2016,Cuarto Menguante,2016-04-29
07/05/2016,Luna Nueva,2016-05-07
14/05/2016,Cuarto Creciente,2016-05-14
21/05/2016,Luna Llena,2016-05-21
28/05/2016,Cuarto Menguante,2016-05-28
05/06/2016,Luna Nueva,2016-06-05
12/06/2016,Cuarto Creciente,2016-06-12
20/06/2016,Luna Llena,2016-06-20
27/06/2016,Cuarto Menguante,2016-06-27
05/07/2016,Luna Nueva,2016-07-05
12/07/2016,Cuarto Creciente,2016-07-12
19/07/2016,Luna Llena,2016-07-19
26/07/2016,Cuarto Menguante,2016-07-26
03/08/2016,Luna Nueva,2016-08-03
10/08/2016,Cuarto Creciente,2016-08-10
18/08/2016,Luna Llena,2016-08-18
25/08/2016,Cuarto Menguante,2016-08-25
02/09/2016,Luna Nueva,2016-09-02
09/09/2016,Cuarto Creciente,2016-09-09
16/09/2016,Luna Llena,2016-09-16
23/09/2016,Cuarto Menguante,2016-09-23
01/10/2016,Luna Nueva,2016-10-01
08/10/2016,Cuarto Creciente,2016-10-08
16/10/2016,Luna Llena,2016-10-16
23/10/2016,Cuarto Menguante,2016-10-23
31/10/2016,Luna Nueva,2016-10-31
07/11/2016,Cuarto Creciente,2016-11-07
14/11/2016,Luna Llena,2016-11-14
21/11/2016,Cuarto Menguante,2016-11-21
29/11/2016,Luna Nueva,2016-11-29
06/12/2016,Cuarto Creciente,2016-12-06
14/12/2016,Luna Llena,2016-12-14
21/12/2016,Cuarto Menguante,2016-12-21
29/12/2016,Luna Nueva,2016-12-29
05/01/2017,Cuarto Creciente,2017-01-05
12/01/2017,Luna Llena,2017-01-12
19/01/2017,Cuarto Menguante,2017-01-19
27/01/2017,Luna Nueva,2017-01-27
03/02/2017,Cuarto Creciente,2017-02-03
11/02/2017,Luna Llena,2017-02-11
18/02/2017,Cuarto Menguante,2017-02-18
26/02/2017,Luna Nueva,2017-02-26
05/03/2017,Cuarto Creciente,2017-03-05
13/03/2017,Luna Llena,2017-03-13
19/03/2017,Cuarto Menguante,2017-03-19
27/03/2017,Luna Nueva,2017-03-27
03/04/2017,Cuarto Creciente,2017-04-03
11/04/2017,Luna Llena,2017-04-11
18/04/2017,Cuarto Menguante,2017-04-18
26/04/2017,Luna Nueva,2017-04-26
03/05/2017,Cuarto Creciente,2017-05-03
11/05/2017,Luna Llena,2017-05-11
17/05/2017,Cuarto Menguante,2017-05-17
25/05/2017,Luna Nueva,2017-05-25
01/06/2017,Cuarto Creciente,2017-06-01
09/06/2017,Luna Llena,2017-06-09
16/06/2017,Cuarto Menguante,2017-06-16
24/06/2017,Luna Nueva,2017-06-24
01/07/2017,Cuarto Creciente,2017-07-01
09/07/2017,Luna Llena,2017-07-09
15/07/2017,Cuarto Menguante,2017-07-15
23/07/2017,Luna Nueva,2017-07-23
30/07/2017,Cuarto Creciente,2017-07-30
07/08/2017,Luna Llena,2017-08-07
14/08/2017,Cuarto Menguante,2017-08-14
22/08/2017,Luna Nueva,2017-08-22
29/08/2017,Cuarto Creciente,2017-08-29
06/09/2017,Luna Llena,2017-09-06
13/09/2017,Cuarto Menguante,2017-09-13
21/09/2017,Luna Nueva,2017-09-21
28/09/2017,Cuarto Creciente,2017-09-28
05/10/2017,Luna Llena,2017-10-05
12/10/2017,Cuarto Menguante,2017-10-12
20/10/2017,Luna Nueva,2017-10-20
27/10/2017,Cuarto Creciente,2017-10-27
04/11/2017,Luna Llena,2017-11-04
11/11/2017,Cuarto Menguante,2017-11-11
19/11/2017,Luna Nueva,2017-11-19
26/11/2017,Cuarto Creciente,2017-11-26
03/12/2017,Luna Llena,2017-12-03
10/12/2017,Cuarto Menguante,2017-12-10
18/12/2017,Luna Nueva,2017-12-18
25/12/2017,Cuarto Creciente,2017-12-25
02/01/2018,Luna Llena,2018-01-02
09/01/2018,Cuarto Menguante,2018-01-09
17/01/2018,Luna Nueva,2018-01-17
24/01/2018,Cuarto Creciente,2018-01-24
31/01/2018,Luna Llena,2018-01-31
07/02/2018,Cuarto Menguante,2018-02-07
15/02/2018,Luna Nueva,2018-02-15
22/02/2018,Cuarto Creciente,2018-02-22
02/03/2018,Luna Llena,2018-03-02
09/03/2018,Cuarto Menguante,2018-03-09
17/03/2018,Luna Nueva,2018-03-17
24/03/2018,Cuarto Creciente,2018-03-24
31/03/2018,Luna Llena,2018-03-31
07/04/2018,Cuarto Menguante,2018-04-07
15/04/2018,Luna Nueva,2018-04-15
22/04/2018,Cuarto Creciente,2018-04-22
30/04/2018,Luna Llena,2018-04-30
07/05/2018,Cuarto Menguante,2018-05-07
15/05/2018,Luna Nueva,2018-05-15
22/05/2018,Cuarto Creciente,2018-05-22
30/05/2018,Luna Llena,2018-05-30
05/06/2018,Cuarto Menguante,2018-06-05
13/06/2018,Luna Nueva,2018-06-13
20/06/2018,Cuarto Creciente,2018-06-20
28/06/2018,Luna Llena,2018-06-28
05/07/2018,Cuarto Menguante,2018-07-05
13/07/2018,Luna Nueva,2018-07-13
20/07/2018,Cuarto Creciente,2018-07-20
28/07/2018,Luna Llena,2018-07-28
03/08/2018,Cuarto Menguante,2018-08-03
11/08/2018,Luna Nueva,2018-08-11
18/08/2018,Cuarto Creciente,2018-08-18
26/08/2018,Luna Llena,2018-08-26
02/09/2018,Cuarto Menguante,2018-09-02
10/09/2018,Luna Nueva,2018-09-10
17/09/2018,Cuarto Creciente,2018-09-17
25/09/2018,Luna Llena,2018-09-25
01/10/2018,Cuarto Menguante,2018-10-01
09/10/2018,Luna Nueva,2018-10-09
16/10/2018,Cuarto Creciente,2018-10-16
24/10/2018,Luna Llena,2018-10-24
31/10/2018,Cuarto Menguante,2018-10-31
08/11/2018,Luna Nueva,2018-11-08
15/11/2018,Cuarto Creciente,2018-11-15
23/11/2018,Luna Llena,2018-11-23
29/11/2018,Cuarto Menguante,2018-11-29
07/12/2018,Luna Nueva,2018-12-07
14/12/2018,Cuarto Creciente,2018-12-14
22/12/2018,Luna Llena,2018-12-22
29/12/2018,Cuarto Menguante,2018-12-29
06/01/2019,Luna Nueva,2019-01-06
13/01/2019,Cuarto Creciente,2019-01-13
21/01/2019,Luna Llena,2019-01-21
28/01/2019,Cuarto Menguante,2019-01-28
05/02/2019,Luna Nueva,2019-02-05
12/02/2019,Cuarto Creciente,2019-02-12
19/02/2019,Luna Llena,2019-02-19
26/02/2019,Cuarto Menguante,2019-02-26
06/03/2019,Luna Nueva,2019-03-06
13/03/2019,Cuarto Creciente,2019-03-13
21/03/2019,Luna Llena,2019-03-21
28/03/2019,Cuarto Menguante,2019-03-28
05/04/2019,Luna Nueva,2019-04-05
12/04/2019,Cuarto Creciente,2019-04-12
19/04/2019,Luna Llena,2019-04-19
26/04/2019,Cuarto Menguante,2019-04-26
04/05/2019,Luna Nueva,2019-05-04
11/05/2019,Cuarto Creciente,2019-05-11
19/05/2019,Luna Llena,2019-05-19
26/05/2019,Cuarto Menguante,2019-05-26
03/06/2019,Luna Nueva,2019-06-03
10/06/2019,Cuarto Creciente,2019-06-10
17/06/2019,Luna Llena,2019-06-17
24/06/2019,Cuarto Menguante,2019-06-24
02/07/2019,Luna Nueva,2019-07-02
09/07/2019,Cuarto Creciente,2019-07-09
17/07/2019,Luna Llena,2019-07-17
24/07/2019,Cuarto Menguante,2019-07-24
01/08/2019,Luna Nueva,2019-08-01
08/08/2019,Cuarto Creciente,2019-08-08
15/08/2019,Luna Llena,2019-08-15
22/08/2019,Cuarto Menguante,2019-08-22
30/08/2019,Luna Nueva,2019-08-30
06/09/2019,Cuarto Creciente,2019-09-06
14/09/2019,Luna Llena,2019-09-14
21/09/2019,Cuarto Menguante,2019-09-21
29/09/2019,Luna Nueva,2019-09-29
06/10/2019,Cuarto Creciente,2019-10-06
14/10/2019,Luna Llena,2019-10-14
20/10/2019,Cuarto Menguante,2019-10-20
28/10/2019,Luna Nueva,2019-10-28
04/11/2019,Cuarto Creciente,2019-11-04
12/11/2019,Luna Llena,2019-11-12
19/11/2019,Cuarto Menguante,2019-11-19
27/11/2019,Luna Nueva,2019-11-27
04/12/2019,Cuarto Creciente,2019-12-04
12/12/2019,Luna Llena,2019-12-12
18/12/2019,Cuarto Menguante,2019-12-18
26/12/2019,Luna Nueva,2019-12-26
