mes,Provincia,horas,cod,mes_n
Enero,Álava,9.44,01,1
Enero,Albacete,9.79,02,1
Enero,Alicante,9.84,03,1
Enero,Almería,9.97,04,1
Enero,Ávila,9.64,05,1
Enero,Badajoz,9.8,06,1
Enero,Baleares,9.74,07,1
Enero,Barcelona,9.58,08,1
Enero,Burgos,9.49,09,1
Enero,Cáceres,9.75,10,1
Enero,Cádiz,9.99,11,1
Enero,Castellón,9.7,12,1
Enero,Ciudad Real,9.79,13,1
Enero,Córdoba,9.88,14,1
Enero,A Coruña,9.39,15,1
Enero,Cuenca,9.69,16,1
Enero,Girona,9.52,17,1
Enero,Granada,9.94,18,1
Enero,Guadalajara,9.64,19,1
Enero,Guipúzcoa,9.4,20,1
Enero,Huelva,9.93,21,1
Enero,Huesca,9.51,22,1
Enero,Jaén,9.89,23,1
Enero,León,9.46,24,1
Enero,Lleida,9.55,25,1
Enero,La Rioja,9.48,26,1
Enero,Lugo,9.42,27,1
Enero,Madrid,9.66,28,1
Enero,Málaga,9.97,29,1
Enero,Murcia,9.87,30,1
Enero,Navarra,9.44,31,1
Enero,Ourense,9.49,32,1
Enero,Asturias,9.39,33,1
Enero,Palencia,9.52,34,1
Enero,Las Palmas,10.59,35,1
Enero,Pontevedra,9.48,36,1
Enero,Salamanca,9.62,37,1
Enero,Santa Cruz de Tenerife,10.57,38,1
Enero,Cantabria,9.38,39,1
Enero,Segovia,9.62,40,1
Enero,Sevilla,9.92,41,1
Enero,Soria,9.54,42,1
Enero,Tarragona,9.6,43,1
Enero,Teruel,9.67,44,1
Enero,Toledo,9.71,45,1
Enero,Valencia,9.75,46,1
Enero,Valladolid,9.55,47,1
Enero,Vizcaya,9.4,48,1
Enero,Zamora,9.57,49,1
Enero,Zaragoza,9.55,50,1
Enero,Ceuta,10.04,51,1
Enero,Melilla,10.08,52,1
Febrero,Álava,10.54,01,2
Febrero,Albacete,10.74,02,2
Febrero,Alicante,10.77,03,2
Febrero,Almería,10.84,04,2
Febrero,Ávila,10.66,05,2
Febrero,Badajoz,10.74,06,2
Febrero,Baleares,10.71,07,2
Febrero,Barcelona,10.62,08,2
Febrero,Burgos,10.57,09,2
Febrero,Cáceres,10.72,10,2
Febrero,Cádiz,10.85,11,2
Febrero,Castellón,10.69,12,2
Febrero,Ciudad Real,10.74,13,2
Febrero,Córdoba,10.79,14,2
Febrero,A Coruña,10.51,15,2
Febrero,Cuenca,10.68,16,2
Febrero,Girona,10.59,17,2
Febrero,Granada,10.83,18,2
Febrero,Guadalajara,10.66,19,2
Febrero,Guipúzcoa,10.51,20,2
Febrero,Huelva,10.82,21,2
Febrero,Huesca,10.58,22,2
Febrero,Jaén,10.8,23,2
Febrero,León,10.55,24,2
Febrero,Lleida,10.6,25,2
Febrero,La Rioja,10.56,26,2
Febrero,Lugo,10.53,27,2
Febrero,Madrid,10.67,28,2
Febrero,Málaga,10.85,29,2
Febrero,Murcia,10.78,30,2
Febrero,Navarra,10.54,31,2
Febrero,Ourense,10.57,32,2
Febrero,Asturias,10.51,33,2
Febrero,Palencia,10.59,34,2
Febrero,Las Palmas,11.2,35,2
Febrero,Pontevedra,10.56,36,2
Febrero,Salamanca,10.64,37,2
Febrero,Santa Cruz de Tenerife,11.19,38,2
Febrero,Cantabria,10.51,39,2
Febrero,Segovia,10.64,40,2
Febrero,Sevilla,10.81,41,2
Febrero,Soria,10.6,42,2
Febrero,Tarragona,10.63,43,2
Febrero,Teruel,10.67,44,2
Febrero,Toledo,10.7,45,2
Febrero,Valencia,10.72,46,2
Febrero,Valladolid,10.61,47,2
Febrero,Vizcaya,10.52,48,2
Febrero,Zamora,10.61,49,2
Febrero,Zaragoza,10.6,50,2
Febrero,Ceuta,10.88,51,2
Febrero,Melilla,10.91,52,2
Marzo,Álava,11.93,01,3
Marzo,Albacete,11.95,02,3
Marzo,Alicante,11.96,03,3
Marzo,Almería,11.96,04,3
Marzo,Ávila,11.95,05,3
Marzo,Badajoz,11.95,06,3
Marzo,Baleares,11.95,07,3
Marzo,Barcelona,11.94,08,3
Marzo,Burgos,11.94,09,3
Marzo,Cáceres,11.95,10,3
Marzo,Cádiz,11.97,11,3
Marzo,Castellón,11.95,12,3
Marzo,Ciudad Real,11.95,13,3
Marzo,Córdoba,11.96,14,3
Marzo,A Coruña,11.93,15,3
Marzo,Cuenca,11.95,16,3
