CCAA,sexo,year,tot,Cod_ca
Andalucia,Total,2019,8414240,01
Andalucia,Total,2018,8384408,01
Andalucia,Total,2017,8379820,01
Andalucia,Total,2016,8388107,01
Andalucia,Hombres,2019,4147167,01
Andalucia,Hombres,2018,4133898,01
Andalucia,Hombres,2017,4133835,01
Andalucia,Hombres,2016,4139194,01
Andalucia,Mujeres,2019,4267073,01
Andalucia,Mujeres,2018,4250510,01
Andalucia,Mujeres,2017,4245985,01
Andalucia,Mujeres,2016,4248913,01
Aragon,Total,2019,1319291,02
Aragon,Total,2018,1308728,02
Aragon,Total,2017,1308750,02
Aragon,Total,2016,1308563,02
Aragon,Hombres,2019,650694,02
Aragon,Hombres,2018,645498,02
Aragon,Hombres,2017,645895,02
Aragon,Hombres,2016,647206,02
Aragon,Mujeres,2019,668597,02
Aragon,Mujeres,2018,663230,02
Aragon,Mujeres,2017,662855,02
Aragon,Mujeres,2016,661357,02
Asturias,Total,2019,1022800,03
Asturias,Total,2018,1028244,03
Asturias,Total,2017,1034960,03
Asturias,Total,2016,1042608,03
Asturias,Hombres,2019,488137,03
Asturias,Hombres,2018,490738,03
Asturias,Hombres,2017,493911,03
Asturias,Hombres,2016,497852,03
Asturias,Mujeres,2019,534663,03
Asturias,Mujeres,2018,537506,03
Asturias,Mujeres,2017,541049,03
Asturias,Mujeres,2016,544756,03
Baleares,Total,2019,1149460,04
Baleares,Total,2018,1128908,04
Baleares,Total,2017,1115999,04
Baleares,Total,2016,1107220,04
Baleares,Hombres,2019,572757,04
Baleares,Hombres,2018,561803,04
Baleares,Hombres,2017,554925,04
Baleares,Hombres,2016,550682,04
Baleares,Mujeres,2019,576703,04
Baleares,Mujeres,2018,567105,04
Baleares,Mujeres,2017,561074,04
Baleares,Mujeres,2016,556538,04
Canarias,Total,2019,2153389,05
Canarias,Total,2018,2127685,05
Canarias,Total,2017,2108121,05
Canarias,Total,2016,2101924,05
Canarias,Hombres,2019,1065971,05
Canarias,Hombres,2018,1054032,05
Canarias,Hombres,2017,1045113,05
Canarias,Hombres,2016,1042838,05
Canarias,Mujeres,2019,1087418,05
Canarias,Mujeres,2018,1073653,05
Canarias,Mujeres,2017,1063008,05
Canarias,Mujeres,2016,1059086,05
Cantabria,Total,2019,581078,06
Cantabria,Total,2018,580229,06
Cantabria,Total,2017,580295,06
Cantabria,Total,2016,582206,06
Cantabria,Hombres,2019,281801,06
Cantabria,Hombres,2018,281564,06
Cantabria,Hombres,2017,281808,06
Cantabria,Hombres,2016,282988,06
Cantabria,Mujeres,2019,299277,06
Cantabria,Mujeres,2018,298665,06
Cantabria,Mujeres,2017,298487,06
Cantabria,Mujeres,2016,299218,06
Castilla-Leon,Total,2019,2399548,07
Castilla-Leon,Total,2018,2409164,07
Castilla-Leon,Total,2017,2425801,07
Castilla-Leon,Total,2016,2447519,07
Castilla-Leon,Hombres,2019,1181401,07
Castilla-Leon,Hombres,2018,1186363,07
Castilla-Leon,Hombres,2017,1195251,07
Castilla-Leon,Hombres,2016,1206775,07
