sexo,ccaa,edad,periodo,miles,cod_ca,year,tri
Mujeres,Andalucia,De 16 a 19 años,2020T4,2.6,01,2020,4
Mujeres,Andalucia,De 16 a 19 años,2020T3,5.2,01,2020,3
Mujeres,Andalucia,De 16 a 19 años,2020T2,5.2,01,2020,2
Mujeres,Andalucia,De 16 a 19 años,2020T1,7.2,01,2020,1
Mujeres,Andalucia,De 16 a 19 años,2019T4,8.2,01,2019,4
Mujeres,Andalucia,De 16 a 19 años,2019T3,10.5,01,2019,3
Mujeres,Andalucia,De 16 a 19 años,2019T2,9.6,01,2019,2
Mujeres,Andalucia,De 16 a 19 años,2019T1,5.1,01,2019,1
Mujeres,Andalucia,De 16 a 19 años,2018T4,9.0,01,2018,4
Mujeres,Andalucia,De 16 a 19 años,2018T3,9.7,01,2018,3
Mujeres,Andalucia,De 16 a 19 años,2018T2,9.1,01,2018,2
Mujeres,Andalucia,De 16 a 19 años,2018T1,4.6,01,2018,1
Mujeres,Andalucia,De 16 a 19 años,2017T4,6.6,01,2017,4
Mujeres,Andalucia,De 16 a 19 años,2017T3,10.2,01,2017,3
Mujeres,Andalucia,De 16 a 19 años,2017T2,9.1,01,2017,2
Mujeres,Andalucia,De 16 a 19 años,2017T1,4.5,01,2017,1
Mujeres,Andalucia,De 16 a 19 años,2016T4,4.0,01,2016,4
Mujeres,Andalucia,De 16 a 19 años,2016T3,4.6,01,2016,3
Mujeres,Andalucia,De 16 a 19 años,2016T2,2.4,01,2016,2
Mujeres,Andalucia,De 16 a 19 años,2016T1,3.6,01,2016,1
Mujeres,Andalucia,De 16 a 19 años,2015T4,3.6,01,2015,4
Mujeres,Andalucia,De 16 a 19 años,2015T3,4.2,01,2015,3
Mujeres,Andalucia,De 16 a 19 años,2015T2,3.5,01,2015,2
Mujeres,Andalucia,De 16 a 19 años,2015T1,4.2,01,2015,1
Mujeres,Andalucia,De 16 a 19 años,2014T4,4.7,01,2014,4
Mujeres,Andalucia,De 16 a 19 años,2014T3,7.7,01,2014,3
Mujeres,Andalucia,De 16 a 19 años,2014T2,2.5,01,2014,2
Mujeres,Andalucia,De 16 a 19 años,2014T1,4.9,01,2014,1
Mujeres,Andalucia,De 16 a 19 años,2013T4,6.5,01,2013,4
Mujeres,Andalucia,De 16 a 19 años,2013T3,5.2,01,2013,3
Mujeres,Andalucia,De 16 a 19 años,2013T2,3.6,01,2013,2
Mujeres,Andalucia,De 16 a 19 años,2013T1,4.6,01,2013,1
Mujeres,Andalucia,De 16 a 19 años,2012T4,4.2,01,2012,4
Mujeres,Andalucia,De 16 a 19 años,2012T3,5.4,01,2012,3
Mujeres,Andalucia,De 16 a 19 años,2012T2,8.9,01,2012,2
Mujeres,Andalucia,De 16 a 19 años,2012T1,6.0,01,2012,1
Mujeres,Andalucia,De 16 a 19 años,2011T4,9.3,01,2011,4
Mujeres,Andalucia,De 16 a 19 años,2011T3,10.5,01,2011,3
Mujeres,Andalucia,De 16 a 19 años,2011T2,9.8,01,2011,2
Mujeres,Andalucia,De 16 a 19 años,2011T1,7.0,01,2011,1
Mujeres,Andalucia,De 20 a 24 años,2020T4,45.4,01,2020,4
Mujeres,Andalucia,De 20 a 24 años,2020T3,49.4,01,2020,3
Mujeres,Andalucia,De 20 a 24 años,2020T2,39.9,01,2020,2
Mujeres,Andalucia,De 20 a 24 años,2020T1,54.8,01,2020,1
Mujeres,Andalucia,De 20 a 24 años,2019T4,60.5,01,2019,4
Mujeres,Andalucia,De 20 a 24 años,2019T3,55.6,01,2019,3
Mujeres,Andalucia,De 20 a 24 años,2019T2,58.3,01,2019,2
Mujeres,Andalucia,De 20 a 24 años,2019T1,60.2,01,2019,1
Mujeres,Andalucia,De 20 a 24 años,2018T4,60.0,01,2018,4
Mujeres,Andalucia,De 20 a 24 años,2018T3,60.0,01,2018,3
Mujeres,Andalucia,De 20 a 24 años,2018T2,55.6,01,2018,2
Mujeres,Andalucia,De 20 a 24 años,2018T1,52.1,01,2018,1
Mujeres,Andalucia,De 20 a 24 años,2017T4,58.1,01,2017,4
Mujeres,Andalucia,De 20 a 24 años,2017T3,65.2,01,2017,3
Mujeres,Andalucia,De 20 a 24 años,2017T2,56.1,01,2017,2
Mujeres,Andalucia,De 20 a 24 años,2017T1,48.0,01,2017,1
Mujeres,Andalucia,De 20 a 24 años,2016T4,41.3,01,2016,4
Mujeres,Andalucia,De 20 a 24 años,2016T3,55.0,01,2016,3
Mujeres,Andalucia,De 20 a 24 años,2016T2,49.8,01,2016,2
Mujeres,Andalucia,De 20 a 24 años,2016T1,44.4,01,2016,1
Mujeres,Andalucia,De 20 a 24 años,2015T4,51.5,01,2015,4
Mujeres,Andalucia,De 20 a 24 años,2015T3,57.4,01,2015,3
Mujeres,Andalucia,De 20 a 24 años,2015T2,57.0,01,2015,2
Mujeres,Andalucia,De 20 a 24 años,2015T1,58.2,01,2015,1
Mujeres,Andalucia,De 20 a 24 años,2014T4,57.3,01,2014,4
Mujeres,Andalucia,De 20 a 24 años,2014T3,52.0,01,2014,3
Mujeres,Andalucia,De 20 a 24 años,2014T2,51.0,01,2014,2
Mujeres,Andalucia,De 20 a 24 años,2014T1,50.6,01,2014,1
Mujeres,Andalucia,De 20 a 24 años,2013T4,49.9,01,2013,4
Mujeres,Andalucia,De 20 a 24 años,2013T3,41.9,01,2013,3
Mujeres,Andalucia,De 20 a 24 años,2013T2,48.0,01,2013,2
Mujeres,Andalucia,De 20 a 24 años,2013T1,55.3,01,2013,1
Mujeres,Andalucia,De 20 a 24 años,2012T4,58.5,01,2012,4
Mujeres,Andalucia,De 20 a 24 años,2012T3,64.3,01,2012,3
Mujeres,Andalucia,De 20 a 24 años,2012T2,62.1,01,2012,2
Mujeres,Andalucia,De 20 a 24 años,2012T1,68.2,01,2012,1
Mujeres,Andalucia,De 20 a 24 años,2011T4,75.8,01,2011,4
Mujeres,Andalucia,De 20 a 24 años,2011T3,82.4,01,2011,3
