CCAA,Periodo,Total,cod_ca
Andalucia,2020,25909,01
Andalucia,2019,23826,01
Andalucia,2018,24091,01
Andalucia,2017,23699,01
Andalucia,2016,21966,01
Aragon,2020,31529,02
Aragon,2019,29672,02
Aragon,2018,28886,02
Aragon,2017,29098,02
Aragon,2016,28019,02
Asturias,2020,28284,03
Asturias,2019,27897,03
Asturias,2018,27069,03
Asturias,2017,27454,03
Asturias,2016,27020,03
Baleares,2020,33115,04
Baleares,2019,32179,04
Baleares,2018,34007,04
Baleares,2017,32163,04
Baleares,2016,30859,04
Canarias,2020,25855,05
Canarias,2019,24565,05
Canarias,2018,23048,05
Canarias,2017,22790,05
Canarias,2016,22450,05
Cantabria,2020,30309,06
Cantabria,2019,29144,06
Cantabria,2018,26888,06
Cantabria,2017,27024,06
Cantabria,2016,25787,06
Castilla-Leon,2020,29125,07
Castilla-Leon,2019,27679,07
Castilla-Leon,2018,27665,07
Castilla-Leon,2017,26113,07
Castilla-Leon,2016,25255,07
Castilla-La Mancha,2020,26722,08
Castilla-La Mancha,2019,24853,08
Castilla-La Mancha,2018,24401,08
Castilla-La Mancha,2017,23159,08
Castilla-La Mancha,2016,22473,08
Cataluña,2020,35030,09
Cataluña,2019,33321,09
Cataluña,2018,32763,09
Cataluña,2017,31411,09
Cataluña,2016,31339,09
Valencia,2020,27948,10
Valencia,2019,26176,10
Valencia,2018,25207,10
Valencia,2017,24034,10
Valencia,2016,22744,10
Extremadura,2020,22250,11
Extremadura,2019,21611,11
Extremadura,2018,21006,11
Extremadura,2017,20395,11
Extremadura,2016,21671,11
Galicia,2020,27862,12
Galicia,2019,27541,12
Galicia,2018,27658,12
Galicia,2017,26533,12
Galicia,2016,25980,12
Madrid,2020,37051,13
Madrid,2019,35587,13
Madrid,2018,33055,13
Madrid,2017,32451,13
Madrid,2016,31370,13
Murcia,2020,26925,14
Murcia,2019,24448,14
Murcia,2018,24801,14
Murcia,2017,23574,14
Murcia,2016,22425,14
Navarra,2020,37728,15
Navarra,2019,34612,15
Navarra,2018,33556,15
Navarra,2017,33431,15
Navarra,2016,33167,15
Pais Vasco,2020,37598,16
Pais Vasco,2019,36399,16
Pais Vasco,2018,35049,16
Pais Vasco,2017,34203,16
Pais Vasco,2016,34054,16
La Rioja,2020,32096,17
La Rioja,2019,30162,17
La Rioja,2018,28549,17
La Rioja,2017,28775,17
La Rioja,2016,27599,17
Ceuta,2020,28824,18
Ceuta,2019,30432,18
Ceuta,2018,28700,18
Ceuta,2017,29117,18
Ceuta,2016,30180,18
Melilla,2020,37138,19
Melilla,2019,37552,19
Melilla,2018,41714,19
Melilla,2017,34089,19
Melilla,2016,35808,19
