,Sexo,codPr,Provincias,Periodo,Year,Trimestre,mes,date,actividad,empleo,paro
7,Hombres,02,Albacete,2019T4,2019,4,12,2019-12-25,61.03,52.81,13.48
8,Hombres,02,Albacete,2019T3,2019,3,9,2019-09-25,63.04,55.9,11.33
9,Hombres,02,Albacete,2019T2,2019,2,6,2019-06-25,65.66,56.75,13.57
10,Hombres,02,Albacete,2019T1,2019,1,3,2019-03-25,65.92,56.53,14.24
11,Hombres,02,Albacete,2018T4,2018,4,12,2018-12-25,67.4,57.9,14.09
12,Hombres,02,Albacete,2018T3,2018,3,9,2018-09-25,68.53,57.58,15.98
13,Hombres,02,Albacete,2018T2,2018,2,6,2018-06-25,67.41,56.23,16.59
14,Hombres,02,Albacete,2018T1,2018,1,3,2018-03-25,65.57,53.65,18.17
15,Hombres,02,Albacete,2017T4,2017,4,12,2017-12-25,65.61,52.46,20.04
16,Hombres,02,Albacete,2017T3,2017,3,9,2017-09-25,64.22,53.35,16.92
17,Hombres,02,Albacete,2017T2,2017,2,6,2017-06-25,65.87,51.19,22.29
18,Hombres,02,Albacete,2017T1,2017,1,3,2017-03-25,62.24,50.3,19.19
19,Hombres,02,Albacete,2016T4,2016,4,12,2016-12-25,60.83,48.52,20.24
20,Hombres,02,Albacete,2016T3,2016,3,9,2016-09-25,58.06,45.44,21.73
21,Hombres,02,Albacete,2016T2,2016,2,6,2016-06-25,61.55,48.21,21.66
22,Hombres,02,Albacete,2016T1,2016,1,3,2016-03-25,59.89,46.74,21.96
54,Hombres,03,Alicante,2019T4,2019,4,12,2019-12-25,65.2,56.5,13.34
55,Hombres,03,Alicante,2019T3,2019,3,9,2019-09-25,64.59,57.93,10.31
56,Hombres,03,Alicante,2019T2,2019,2,6,2019-06-25,64.67,56.7,12.32
57,Hombres,03,Alicante,2019T1,2019,1,3,2019-03-25,63.03,54.58,13.41
58,Hombres,03,Alicante,2018T4,2018,4,12,2018-12-25,63.13,53.45,15.34
59,Hombres,03,Alicante,2018T3,2018,3,9,2018-09-25,64.5,55.08,14.6
60,Hombres,03,Alicante,2018T2,2018,2,6,2018-06-25,63.58,53.79,15.39
61,Hombres,03,Alicante,2018T1,2018,1,3,2018-03-25,63.8,52.64,17.49
62,Hombres,03,Alicante,2017T4,2017,4,12,2017-12-25,63.17,52.75,16.5
63,Hombres,03,Alicante,2017T3,2017,3,9,2017-09-25,64.44,54.53,15.38
64,Hombres,03,Alicante,2017T2,2017,2,6,2017-06-25,65.16,54.86,15.81
65,Hombres,03,Alicante,2017T1,2017,1,3,2017-03-25,64.44,51.82,19.58
66,Hombres,03,Alicante,2016T4,2016,4,12,2016-12-25,63.6,52.33,17.72
67,Hombres,03,Alicante,2016T3,2016,3,9,2016-09-25,65.63,54.39,17.14
68,Hombres,03,Alicante,2016T2,2016,2,6,2016-06-25,66.26,52.63,20.57
69,Hombres,03,Alicante,2016T1,2016,1,3,2016-03-25,63.91,50.07,21.66
101,Hombres,04,Almería,2019T4,2019,4,12,2019-12-25,67.22,57.08,15.08
102,Hombres,04,Almería,2019T3,2019,3,9,2019-09-25,64.45,54.54,15.38
103,Hombres,04,Almería,2019T2,2019,2,6,2019-06-25,66.35,56.02,15.56
104,Hombres,04,Almería,2019T1,2019,1,3,2019-03-25,65.07,55.75,14.33
105,Hombres,04,Almería,2018T4,2018,4,12,2018-12-25,66.79,54.52,18.38
106,Hombres,04,Almería,2018T3,2018,3,9,2018-09-25,67.26,52.39,22.1
107,Hombres,04,Almería,2018T2,2018,2,6,2018-06-25,67.01,53.39,20.33
108,Hombres,04,Almería,2018T1,2018,1,3,2018-03-25,68.96,53.34,22.66
109,Hombres,04,Almería,2017T4,2017,4,12,2017-12-25,71.63,55.69,22.26
110,Hombres,04,Almería,2017T3,2017,3,9,2017-09-25,69.51,54.63,21.4
111,Hombres,04,Almería,2017T2,2017,2,6,2017-06-25,68.69,53.49,22.13
112,Hombres,04,Almería,2017T1,2017,1,3,2017-03-25,69.19,54.36,21.43
113,Hombres,04,Almería,2016T4,2016,4,12,2016-12-25,68.42,51.6,24.59
114,Hombres,04,Almería,2016T3,2016,3,9,2016-09-25,67.26,54.12,19.54
115,Hombres,04,Almería,2016T2,2016,2,6,2016-06-25,66.23,51.0,22.99
116,Hombres,04,Almería,2016T1,2016,1,3,2016-03-25,66.32,50.47,23.9
148,Hombres,01,Álava,2019T4,2019,4,12,2019-12-25,60.41,56.63,6.26
149,Hombres,01,Álava,2019T3,2019,3,9,2019-09-25,61.21,55.48,9.36
150,Hombres,01,Álava,2019T2,2019,2,6,2019-06-25,61.81,56.64,8.38
151,Hombres,01,Álava,2019T1,2019,1,3,2019-03-25,63.21,59.06,6.56
152,Hombres,01,Álava,2018T4,2018,4,12,2018-12-25,64.16,59.72,6.92
153,Hombres,01,Álava,2018T3,2018,3,9,2018-09-25,64.27,59.38,7.61
154,Hombres,01,Álava,2018T2,2018,2,6,2018-06-25,62.77,56.85,9.44
155,Hombres,01,Álava,2018T1,2018,1,3,2018-03-25,63.04,57.83,8.27
156,Hombres,01,Álava,2017T4,2017,4,12,2017-12-25,63.56,58.52,7.94
157,Hombres,01,Álava,2017T3,2017,3,9,2017-09-25,62.1,56.87,8.43
158,Hombres,01,Álava,2017T2,2017,2,6,2017-06-25,60.26,54.11,10.21
159,Hombres,01,Álava,2017T1,2017,1,3,2017-03-25,61.62,55.25,10.34
160,Hombres,01,Álava,2016T4,2016,4,12,2016-12-25,63.18,56.4,10.73
161,Hombres,01,Álava,2016T3,2016,3,9,2016-09-25,63.15,55.87,11.53
162,Hombres,01,Álava,2016T2,2016,2,6,2016-06-25,62.3,54.57,12.4
163,Hombres,01,Álava,2016T1,2016,1,3,2016-03-25,62.64,55.8,10.92
195,Hombres,33,Asturias,2019T4,2019,4,12,2019-12-25,54.98,47.99,12.71
196,Hombres,33,Asturias,2019T3,2019,3,9,2019-09-25,55.22,47.4,14.17
197,Hombres,33,Asturias,2019T2,2019,2,6,2019-06-25,54.22,47.52,12.35
198,Hombres,33,Asturias,2019T1,2019,1,3,2019-03-25,55.17,47.46,13.97
199,Hombres,33,Asturias,2018T4,2018,4,12,2018-12-25,54.16,47.9,11.55
200,Hombres,33,Asturias,2018T3,2018,3,9,2018-09-25,55.96,48.67,13.03
201,Hombres,33,Asturias,2018T2,2018,2,6,2018-06-25,55.04,49.08,10.82
202,Hombres,33,Asturias,2018T1,2018,1,3,2018-03-25,55.0,47.27,14.05
203,Hombres,33,Asturias,2017T4,2017,4,12,2017-12-25,54.9,47.22,13.99
204,Hombres,33,Asturias,2017T3,2017,3,9,2017-09-25,55.75,47.97,13.94
205,Hombres,33,Asturias,2017T2,2017,2,6,2017-06-25,55.94,49.06,12.3
206,Hombres,33,Asturias,2017T1,2017,1,3,2017-03-25,55.76,48.06,13.81
207,Hombres,33,Asturias,2016T4,2016,4,12,2016-12-25,55.65,47.32,14.96
208,Hombres,33,Asturias,2016T3,2016,3,9,2016-09-25,57.59,46.71,18.89
209,Hombres,33,Asturias,2016T2,2016,2,6,2016-06-25,56.88,44.75,21.32
210,Hombres,33,Asturias,2016T1,2016,1,3,2016-03-25,55.61,44.45,20.07
242,Hombres,05,Ávila,2019T4,2019,4,12,2019-12-25,61.84,52.37,15.31
243,Hombres,05,Ávila,2019T3,2019,3,9,2019-09-25,60.79,52.81,13.14
244,Hombres,05,Ávila,2019T2,2019,2,6,2019-06-25,57.99,51.22,11.67
245,Hombres,05,Ávila,2019T1,2019,1,3,2019-03-25,57.15,46.86,18.0
246,Hombres,05,Ávila,2018T4,2018,4,12,2018-12-25,58.38,49.71,14.85
247,Hombres,05,Ávila,2018T3,2018,3,9,2018-09-25,59.53,50.51,15.15
248,Hombres,05,Ávila,2018T2,2018,2,6,2018-06-25,58.64,48.84,16.72
249,Hombres,05,Ávila,2018T1,2018,1,3,2018-03-25,60.67,49.37,18.61
250,Hombres,05,Ávila,2017T4,2017,4,12,2017-12-25,60.24,49.18,18.35
251,Hombres,05,Ávila,2017T3,2017,3,9,2017-09-25,60.82,53.78,11.59
252,Hombres,05,Ávila,2017T2,2017,2,6,2017-06-25,62.37,51.64,17.2
253,Hombres,05,Ávila,2017T1,2017,1,3,2017-03-25,62.64,51.53,17.74
254,Hombres,05,Ávila,2016T4,2016,4,12,2016-12-25,60.27,51.68,14.24
255,Hombres,05,Ávila,2016T3,2016,3,9,2016-09-25,62.97,51.62,18.02
256,Hombres,05,Ávila,2016T2,2016,2,6,2016-06-25,62.13,49.24,20.75
257,Hombres,05,Ávila,2016T1,2016,1,3,2016-03-25,60.57,44.7,26.21
289,Hombres,06,Badajoz,2019T4,2019,4,12,2019-12-25,62.85,50.51,19.64
290,Hombres,06,Badajoz,2019T3,2019,3,9,2019-09-25,62.91,53.01,15.74
291,Hombres,06,Badajoz,2019T2,2019,2,6,2019-06-25,63.08,53.67,14.92
292,Hombres,06,Badajoz,2019T1,2019,1,3,2019-03-25,64.29,53.94,16.09
293,Hombres,06,Badajoz,2018T4,2018,4,12,2018-12-25,62.95,51.34,18.44
294,Hombres,06,Badajoz,2018T3,2018,3,9,2018-09-25,63.39,51.47,18.8
295,Hombres,06,Badajoz,2018T2,2018,2,6,2018-06-25,63.6,50.89,19.98
296,Hombres,06,Badajoz,2018T1,2018,1,3,2018-03-25,63.77,49.6,22.22
297,Hombres,06,Badajoz,2017T4,2017,4,12,2017-12-25,63.16,49.76,21.22
298,Hombres,06,Badajoz,2017T3,2017,3,9,2017-09-25,63.3,49.33,22.07
299,Hombres,06,Badajoz,2017T2,2017,2,6,2017-06-25,63.19,49.19,22.15
300,Hombres,06,Badajoz,2017T1,2017,1,3,2017-03-25,63.91,46.49,27.26
301,Hombres,06,Badajoz,2016T4,2016,4,12,2016-12-25,64.02,46.99,26.6
302,Hombres,06,Badajoz,2016T3,2016,3,9,2016-09-25,63.98,48.66,23.94
303,Hombres,06,Badajoz,2016T2,2016,2,6,2016-06-25,63.6,48.51,23.74
304,Hombres,06,Badajoz,2016T1,2016,1,3,2016-03-25,66.02,49.12,25.59
336,Hombres,07,Baleares,2019T4,2019,4,12,2019-12-25,67.88,61.48,9.43
337,Hombres,07,Baleares,2019T3,2019,3,9,2019-09-25,71.26,65.56,8.0
338,Hombres,07,Baleares,2019T2,2019,2,6,2019-06-25,70.6,64.1,9.2
339,Hombres,07,Baleares,2019T1,2019,1,3,2019-03-25,68.23,58.17,14.74
340,Hombres,07,Baleares,2018T4,2018,4,12,2018-12-25,68.91,61.07,11.38
341,Hombres,07,Baleares,2018T3,2018,3,9,2018-09-25,72.13,66.7,7.52
342,Hombres,07,Baleares,2018T2,2018,2,6,2018-06-25,70.68,62.77,11.2
343,Hombres,07,Baleares,2018T1,2018,1,3,2018-03-25,67.73,55.24,18.45
344,Hombres,07,Baleares,2017T4,2017,4,12,2017-12-25,67.63,58.31,13.77
345,Hombres,07,Baleares,2017T3,2017,3,9,2017-09-25,72.78,65.99,9.33
346,Hombres,07,Baleares,2017T2,2017,2,6,2017-06-25,71.66,63.8,10.97
347,Hombres,07,Baleares,2017T1,2017,1,3,2017-03-25,68.58,57.75,15.79
348,Hombres,07,Baleares,2016T4,2016,4,12,2016-12-25,67.56,58.81,12.95
349,Hombres,07,Baleares,2016T3,2016,3,9,2016-09-25,72.48,64.96,10.37
350,Hombres,07,Baleares,2016T2,2016,2,6,2016-06-25,71.99,63.36,11.98
351,Hombres,07,Baleares,2016T1,2016,1,3,2016-03-25,69.84,56.87,18.58
383,Hombres,08,Barcelona,2019T4,2019,4,12,2019-12-25,66.78,60.2,9.85
384,Hombres,08,Barcelona,2019T3,2019,3,9,2019-09-25,66.48,59.5,10.5
385,Hombres,08,Barcelona,2019T2,2019,2,6,2019-06-25,66.06,58.95,10.77
386,Hombres,08,Barcelona,2019T1,2019,1,3,2019-03-25,66.45,59.34,10.7
387,Hombres,08,Barcelona,2018T4,2018,4,12,2018-12-25,66.81,59.91,10.34
388,Hombres,08,Barcelona,2018T3,2018,3,9,2018-09-25,66.81,59.74,10.58
389,Hombres,08,Barcelona,2018T2,2018,2,6,2018-06-25,66.69,59.55,10.71
390,Hombres,08,Barcelona,2018T1,2018,1,3,2018-03-25,66.54,59.31,10.87
391,Hombres,08,Barcelona,2017T4,2017,4,12,2017-12-25,67.38,59.72,11.37
392,Hombres,08,Barcelona,2017T3,2017,3,9,2017-09-25,67.59,59.76,11.59
393,Hombres,08,Barcelona,2017T2,2017,2,6,2017-06-25,66.49,58.47,12.06
394,Hombres,08,Barcelona,2017T1,2017,1,3,2017-03-25,67.22,58.12,13.54
395,Hombres,08,Barcelona,2016T4,2016,4,12,2016-12-25,67.39,58.13,13.75
396,Hombres,08,Barcelona,2016T3,2016,3,9,2016-09-25,67.21,58.03,13.66
397,Hombres,08,Barcelona,2016T2,2016,2,6,2016-06-25,67.22,57.73,14.11
398,Hombres,08,Barcelona,2016T1,2016,1,3,2016-03-25,67.4,56.67,15.93
430,Hombres,48,Vizcaya,2019T4,2019,4,12,2019-12-25,59.29,53.2,10.28
431,Hombres,48,Vizcaya,2019T3,2019,3,9,2019-09-25,59.8,53.69,10.23
432,Hombres,48,Vizcaya,2019T2,2019,2,6,2019-06-25,61.24,54.64,10.78
433,Hombres,48,Vizcaya,2019T1,2019,1,3,2019-03-25,60.03,53.66,10.61
434,Hombres,48,Vizcaya,2018T4,2018,4,12,2018-12-25,60.22,53.35,11.42
435,Hombres,48,Vizcaya,2018T3,2018,3,9,2018-09-25,60.41,53.27,11.83
436,Hombres,48,Vizcaya,2018T2,2018,2,6,2018-06-25,60.2,51.82,13.93
437,Hombres,48,Vizcaya,2018T1,2018,1,3,2018-03-25,59.62,51.62,13.42
438,Hombres,48,Vizcaya,2017T4,2017,4,12,2017-12-25,60.35,52.57,12.89
439,Hombres,48,Vizcaya,2017T3,2017,3,9,2017-09-25,62.16,53.84,13.39
440,Hombres,48,Vizcaya,2017T2,2017,2,6,2017-06-25,61.26,53.76,12.25
441,Hombres,48,Vizcaya,2017T1,2017,1,3,2017-03-25,61.26,53.85,12.08
442,Hombres,48,Vizcaya,2016T4,2016,4,12,2016-12-25,62.86,54.12,13.89
443,Hombres,48,Vizcaya,2016T3,2016,3,9,2016-09-25,62.34,54.29,12.92
444,Hombres,48,Vizcaya,2016T2,2016,2,6,2016-06-25,61.49,52.62,14.43
445,Hombres,48,Vizcaya,2016T1,2016,1,3,2016-03-25,61.92,52.49,15.24
477,Hombres,09,Burgos,2019T4,2019,4,12,2019-12-25,62.47,57.39,8.14
478,Hombres,09,Burgos,2019T3,2019,3,9,2019-09-25,63.38,59.2,6.59
479,Hombres,09,Burgos,2019T2,2019,2,6,2019-06-25,61.47,57.72,6.09
480,Hombres,09,Burgos,2019T1,2019,1,3,2019-03-25,62.35,57.61,7.6
481,Hombres,09,Burgos,2018T4,2018,4,12,2018-12-25,63.19,58.52,7.4
482,Hombres,09,Burgos,2018T3,2018,3,9,2018-09-25,64.61,59.39,8.09
483,Hombres,09,Burgos,2018T2,2018,2,6,2018-06-25,64.58,60.29,6.63
484,Hombres,09,Burgos,2018T1,2018,1,3,2018-03-25,63.87,58.7,8.1
485,Hombres,09,Burgos,2017T4,2017,4,12,2017-12-25,63.98,59.13,7.58
486,Hombres,09,Burgos,2017T3,2017,3,9,2017-09-25,63.86,59.39,7.0
